Time,Stock 0 Ground Truth,Stock 0 Prediction,Stock 1 Ground Truth,Stock 1 Prediction,Stock 2 Ground Truth,Stock 2 Prediction,Stock 3 Ground Truth,Stock 3 Prediction,Stock 4 Ground Truth,Stock 4 Prediction,Stock 5 Ground Truth,Stock 5 Prediction,Stock 6 Ground Truth,Stock 6 Prediction,Stock 7 Ground Truth,Stock 7 Prediction
79,0.0020733227,0.6689243,0.0013429929,0.93420184,0.00076540874,0.83564997,0.0067331134,0.8582496,0.001090466,0.8300417,0.018137379,0.681604,0.002844933,0.7338797,-0.019308716,0.8948641
80,-0.003102021,0.6704689,-0.017426908,0.95218396,-0.0009731791,0.83532286,-0.030099668,0.86246616,-0.00046713473,0.83120334,-0.004858838,0.68969274,-0.08753752,0.734301,-0.02383424,0.9083991
81,0.008297466,0.67126226,0.02182876,0.96299386,0.020396704,0.8353241,-0.001723857,0.8556253,0.0032705984,0.83284706,0.0069162333,0.6930357,0.017987808,0.73281837,0.00530768,0.9226768
82,0.009873536,0.6736841,0.0013347283,0.9707786,0.006344756,0.8369894,-0.0017280985,0.85599303,0.0065198005,0.83493984,0.0012129522,0.6957734,0.019197049,0.7326828,-0.011615914,0.9253245
83,-0.011203205,0.6772306,-0.007999935,0.9738213,-0.0030514316,0.8409066,-0.07698909,0.8616738,-0.0035469772,0.83779836,-0.0016144115,0.6971719,0.0115576135,0.732796,0.0021369297,0.92260504
84,-0.0018540423,0.67667615,0.0013436987,0.9720278,-0.0036036514,0.8442958,-0.010309735,0.841473,-0.007120435,0.83916706,0.0040411204,0.69778854,0.0029623194,0.73297685,0.005330316,0.9224396
85,0.00082480174,0.67709863,-0.026844922,0.9729115,0.01658367,0.8453663,-0.0104159005,0.83869743,0.0018713799,0.8385292,0.004429501,0.6993704,0.0059072236,0.73258823,-0.0031810517,0.9235887
86,0.0074239112,0.67819065,0.017930685,0.9648932,0.027188446,0.8499931,0.0028710458,0.83417046,0.0040454236,0.83871937,0.0036068389,0.7014031,0.004195011,0.73303914,0.003191203,0.92334867
87,0.013102041,0.680617,0.0027103538,0.9710816,0.006405266,0.8596678,-0.0009547413,0.831385,0.0120872995,0.8395617,0.0055902703,0.7039313,0.0027155485,0.7339438,-0.009544123,0.92530566
88,-0.001818453,0.6834506,-0.012162152,0.97350085,-0.00474046,0.8655201,-0.020057771,0.8296523,0.0035214513,0.8417799,0.04249513,0.70855665,0.01666337,0.73423856,-0.002140398,0.9238935
89,0.0058698114,0.6848119,0.00547162,0.97328746,0.004502032,0.8668138,-0.0038980818,0.8272464,0.0035090942,0.84463954,-0.009524154,0.7233402,-0.0010251221,0.73484665,-0.030043887,0.9279305
90,-0.00080430723,0.68877274,-0.012244891,0.9821429,0.013965238,0.8717889,-0.030333234,0.8211088,0.0025854239,0.8487154,-0.00038530718,0.7304386,-0.028712133,0.7350582,-0.012167303,0.9337213
91,0.0042288573,0.69055235,0.008264458,0.982991,-0.0025628563,0.87896574,-0.003026097,0.80209756,0.0074307746,0.85183614,-0.031934097,0.7366534,0.0156247895,0.7347716,0.016796753,0.93507457
92,0.022061868,0.6938125,0.0013657885,0.98867303,-0.0014772061,0.88150156,0.005060725,0.7810806,-0.0009035396,0.85698414,0.015897129,0.7332295,-0.00041499708,0.7346529,0.012114838,0.9342898
93,-0.0257058,0.6994325,-0.032742087,0.9914232,-0.03357479,0.88289917,-0.07150094,0.7810578,-0.014313129,0.8606702,-0.037949175,0.7391623,-0.022046212,0.7343812,-0.05005457,0.9347076
94,-0.00040247734,0.69669425,0.0014111202,0.9788494,0.015240476,0.8728452,-0.0010852161,0.73754555,0.0012229852,0.8582718,-0.018707318,0.73287123,-0.009784234,0.7335152,0.0068733515,0.9296652
95,0.011081298,0.6967261,0.03239359,0.97780806,0.0034095254,0.8767713,0.0325733,0.7341054,0.0140449405,0.8586696,0.019477736,0.7320179,0.013316575,0.7313508,0.0,0.9287378
96,0.009366943,0.69901717,0.0040927683,0.9771849,0.0060761427,0.87933093,0.018927708,0.7476884,0.0030119957,0.86228013,0.005284384,0.73175013,0.013989182,0.72336614,0.010239024,0.9184383
97,-0.006712691,0.7027284,-0.004076086,0.9788662,-0.0012337707,0.8857876,0.006192539,0.7550353,-0.0049542766,0.86512554,0.0060654446,0.7325989,0.0058528064,0.7313039,0.019143695,0.9186559
98,0.00019855541,0.70323503,0.0068216114,0.9793154,-0.002990771,0.88721025,-0.0020510308,0.7569357,0.00286656,0.86540926,-0.0040183,0.73295677,0.011637582,0.735096,0.0,0.9172654
99,0.0055639767,0.7028381,-0.012195115,0.97915506,0.0034560615,0.8869658,0.028775787,0.7525172,0.0093258545,0.8658366,0.008474734,0.7329004,0.0057518943,0.7365688,-0.0033145521,0.9171096
100,0.0013836412,0.70449233,0.002743815,0.97867846,-0.0016894802,0.8881868,-0.005993196,0.75617254,0.0017891055,0.86824775,-0.0036024854,0.73361266,0.011437918,0.7376344,-0.0077605294,0.91667575
101,-0.00217048,0.7064488,-0.010944234,0.9772353,0.00039014005,0.89311945,-0.014071164,0.75049424,-0.0025296516,0.8710655,-0.012449055,0.7341653,0.0046451823,0.7399,-0.017877137,0.91559935
