Time,Stock 0 Ground Truth,Stock 0 Prediction,Stock 1 Ground Truth,Stock 1 Prediction,Stock 2 Ground Truth,Stock 2 Prediction,Stock 3 Ground Truth,Stock 3 Prediction,Stock 4 Ground Truth,Stock 4 Prediction,Stock 5 Ground Truth,Stock 5 Prediction,Stock 6 Ground Truth,Stock 6 Prediction,Stock 7 Ground Truth,Stock 7 Prediction
63,-0.0043069883,0.6419693,0.011644053,0.8948438,0.0074469526,0.81387013,0.0074546654,0.774905,-0.0014189407,0.7976661,-0.02222302,0.63859236,-0.024094656,0.7181316,0.005543052,0.86230326
64,0.0032434384,0.63819325,-0.015826577,0.89250326,-0.0051811766,0.8256756,-0.008325101,0.77790415,-0.0004739966,0.79896224,-0.0045459443,0.62719405,-0.002110424,0.7084673,-0.025358368,0.8689371
65,-0.0021557703,0.63643473,0.0058475286,0.8836565,-0.0025000689,0.81644255,0.0074629136,0.76994187,-0.00094859034,0.7934135,0.053882323,0.6238783,0.00063462555,0.70337594,0.011311842,0.8605467
66,0.0034573793,0.63626474,-0.0029073278,0.8870943,-0.0022265697,0.81645876,-0.002778003,0.77200824,-0.0012654709,0.793106,0.0082322955,0.636053,0.0023244228,0.70817703,-0.00782998,0.86394584
67,0.016580438,0.64780504,0.0029158052,0.88125885,-0.0011864895,0.8140934,0.036211167,0.7831757,-0.004434279,0.79262275,0.0,0.6426355,-0.00042085926,0.7140775,0.006764866,0.8647573
68,-0.008896504,0.66086453,0.024709648,0.8885404,-0.010756391,0.8149458,-0.0026872256,0.8000833,-0.0042956923,0.78876275,-0.0038672388,0.64495784,0.0080153365,0.7121424,0.005598918,0.8732062
69,0.0008556437,0.6645331,-0.026951024,0.89820874,0.0012008153,0.80895674,-0.0071879965,0.8076087,0.0043142247,0.78942907,-0.032787375,0.6429516,-0.015485598,0.7230932,-0.020044843,0.8747605
70,0.0014935437,0.6524478,-0.010203662,0.88723844,-0.005289622,0.804457,-0.024434088,0.807163,-0.0011131916,0.7859088,-0.016949369,0.6377337,-0.011476558,0.70722777,-0.018181872,0.8683102
71,0.010448112,0.65409225,0.02061884,0.87910575,0.0055301543,0.8042989,0.019479677,0.7950989,0.0050954293,0.7876495,0.0018150202,0.62655514,0.020425508,0.70635873,0.015046733,0.8553413
72,0.0035871887,0.6692302,-0.0014436996,0.885002,-0.0044423053,0.8001935,0.0,0.7924875,-0.011883778,0.79449666,0.019022193,0.6253697,0.0004220138,0.7088948,-0.005701065,0.8489334
73,-0.011773648,0.6703244,0.008670521,0.89137965,-0.0036820848,0.79937285,0.016378826,0.79386336,-0.0046505486,0.78699756,0.010221023,0.6299194,0.011582859,0.70929456,0.021788726,0.8477384
74,0.01425388,0.6519178,0.027221326,0.88679194,0.012510158,0.79119045,0.025067361,0.8008656,0.011922539,0.7833991,0.025077377,0.62664384,0.016448686,0.7134155,0.026935587,0.8436628
75,-0.0031453753,0.6644529,0.009762494,0.9129936,-0.0011939867,0.803021,0.0,0.81612337,0.001273731,0.79407096,0.016737662,0.64167815,0.0014337889,0.7259258,0.012022157,0.86346465
76,0.01325687,0.65961885,0.015193701,0.91455543,0.009630209,0.7969906,0.020087544,0.8138758,0.008268385,0.79623264,0.013930669,0.6506505,0.008181071,0.730296,0.024838127,0.86704856
77,0.005192166,0.68093276,0.006803047,0.92426574,0.0061961333,0.81189525,0.0008554674,0.83242285,0.011827546,0.80854326,0.0062447283,0.6686049,-0.0071008317,0.7379714,0.0010532186,0.8883632
